CodiProv CodiDiagnost dies sexe
4 0101 677 H
4 0102 391 H
4 0103 1159 H
4 0104 3971 H
4 0105 518 H
4 0106 1601 H
4 0201 4127 H
4 0202 2655 H
4 0203 262 H
4 0204 27 H
4 0205 -99 H
4 0206 -99 H
4 0207 979 H
4 0208 1986 H
4 0209 9691 H
4 0210 118 H
4 0211 146 H
4 0212 -99 H
4 0213 1813 H
4 0301 1243 H
4 0302 862 H
4 0401 2246 H
4 0402 1270 H
4 0501 71 H
4 0502 165 H
4 0503 286 H
4 0504 3453 H
4 0505 1363 H
4 0506 1046 H
4 0601 334 H
4 0602 65 H
4 0603 407 H
4 0604 718 H
4 0605 2466 H
4 0701 7 H
4 0702 553 H
4 0800 475 H
4 0901 845 H
4 0902 408 H
4 0903 2879 H
4 0904 1708 H
4 0905 1034 H
4 0906 2043 H
4 0907 5089 H
4 0908 9319 H
4 0909 1896 H
4 0910 10 H
4 0911 2906 H
4 1001 602 H
4 1002 5978 H
4 1003 4852 H
4 1004 137 H
4 1005 655 H
4 1006 7779 H
4 1007 537 H
4 1008 8183 H
4 1101 114 H
4 1102 179 H
4 1103 300 H
4 1104 991 H
4 1105 402 H
4 1106 1741 H
4 1107 509 H
4 1108 561 H
4 1109 685 H
4 1110 1025 H
4 1111 984 H
4 1112 1106 H
4 1113 793 H
4 1114 704 H
4 1115 1636 H
4 1116 684 H
4 1117 2785 H
4 1118 1224 H
4 1119 2897 H
4 1120 1861 H
4 1201 1203 H
4 1202 53 H
4 1203 464 H
4 1301 826 H
4 1302 1028 H
4 1303 384 H
4 1304 776 H
4 1305 388 H
4 1306 445 H
4 1307 715 H
4 1308 170 H
4 1309 655 H
4 1310 743 H
4 1401 1082 H
4 1402 1945 H
4 1403 832 H
4 1404 2983 H
4 1405 714 H
4 1406 564 H
4 1407 17 H
4 1408 -99 H
4 1409 -99 H
4 1410 268 H
4 1501 -99 H
4 1502 -99 H
4 1503 -99 H
4 1504 -99 H
4 1505 -99 H
4 1506 -99 H
4 1507 -99 H
4 1508 -99 H
4 1601 2064 H
4 1602 2318 H
4 1700 763 H
4 1801 496 H
4 1802 467 H
4 1803 4 H
4 1804 4536 H
4 1901 2119 H
4 1902 737 H
4 1903 558 H
4 1904 2540 H
4 1905 1354 H
4 1906 4540 H
4 1907 123 H
4 1908 501 H
4 1909 4177 H
4 1911 411 H
4 2101 20 H
4 2102 -99 H
4 2103 11 H
4 2104 1453 H
4 2105 1096 H
4 9998 627 H
4 0101 570 M
4 0102 421 M
4 0103 165 M
4 0104 2905 M
4 0105 263 M
4 0106 1102 M
4 0201 2015 M
4 0202 651 M
4 0203 68 M
4 0204 924 M
4 0205 380 M
4 0206 455 M
4 0207 -99 M
4 0208 273 M
4 0209 6968 M
